Epoch 0, EER 27.3114, minDCF 0.999
Epoch 1, EER 25.8749, minDCF 0.998
Epoch 2, EER 26.1577, minDCF 0.999
Epoch 3, EER 26.5405, minDCF 0.996
Epoch 4, EER 27.7208, minDCF 0.998
Epoch 5, EER 29.9431, minDCF 0.998
Epoch 6, EER 29.0873, minDCF 0.998
Epoch 7, EER 30.2143, minDCF 0.999
Epoch 8, EER 29.0074, minDCF 0.994
Epoch 9, EER 30.7042, minDCF 0.998
Epoch 10, EER 29.2466, minDCF 0.996
Epoch 11, EER 43.5911, minDCF 1.000
Epoch 12, EER 29.5125, minDCF 0.998
Epoch 13, EER 30.2568, minDCF 0.996
Epoch 14, EER 30.6510, minDCF 0.998
Epoch 15, EER 31.5977, minDCF 0.996
Epoch 16, EER 30.3212, minDCF 0.994
Epoch 17, EER 32.2306, minDCF 0.999
Epoch 18, EER 32.5270, minDCF 0.999
Epoch 19, EER 33.3369, minDCF 0.998
Epoch 20, EER 33.3245, minDCF 0.999
Epoch 21, EER 33.7305, minDCF 0.999
Epoch 22, EER 32.2027, minDCF 0.998
Epoch 23, EER 32.0338, minDCF 0.999
